Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12pF,C_0402,87.25,63.6,90.0,top
C10,1.0uF,C_0603,78.6,65.6,90.0,top
C11,12pF,C_0402,75.5,65.140685,-90.0,top
C12,12pF,C_0402,73.95,61.390685,-90.0,top
C13,12pF,C_0402,82.9,65.1,90.0,top
C14,12pF,C_0402,82.1,65.1,90.0,top
C15,47uF,C_0805,73.25,68.25,55.0,top
C16,100nF,C_0402,80.93344,51.890685,180.0,top
C17,100nF,C_0402,78.93344,51.890685,180.0,top
C18,100nF,C_0402,86.43344,52.890685,90.0,top
C19,100nF,C_0402,86.43344,54.890685,90.0,top
C2,12pF,C_0402,85.5,65.6,0.0,top
C3,0.8pf,C_0402,84.68344,60.890685,90.0,top
C4,100nF,C_0402,76.3,65.140685,90.0,top
C5,100nF,C_0402,76.93344,56.890685,180.0,top
C7,100pF,C_0402,86.1,61.8,0.0,top
C8,100nF,C_0402,83.8,64.9,90.0,top
C9,4.7uF,C_0603,77.3,65.3,90.0,top
D1,LED,LED_0603_1608Metric,83.49844,70.140685,90.0,top
D2,LED,LED_0603_1608Metric,81.96594,70.140685,90.0,top
D3,LED,LED_0603_1608Metric,80.43344,70.140685,90.0,top
D4,LED,LED_0603_1608Metric,78.90094,70.140685,90.0,top
L1,3.9nH,L_0402,86.2,60.5,0.0,top
R1,1kΩ,R_0402,84.06594,68.240685,180.0,top
R2,1kΩ,R_0402,82.26594,68.240685,180.0,top
R3,1kΩ,R_0402,80.46594,68.240685,180.0,top
R4,1kΩ,R_0402,78.66594,68.240685,0.0,top
R6,10kΩ,R_0402,71.5,60.0,-90.0,top
S1,"Tactile Button, 160gf",SW_TS-1088-AR02016,69.25,61.5,90.0,top
U1,~,QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm_ThermalVias,80.53,60.6,0.0,top
U2,DPS368,LGA8S145X65P2X4_200X250X110-V,84.15844,53.665685,90.0,top
U3,LSM6DS3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,80.09594,53.890685,0.0,top
X1,NX2016SA-32MHZ-EXS00A-CS06654,FA-128_EPS,85.5153,63.723,180.0,top
X2,32.768kHz,FC-135R_L3.2-W1.5,75.43344,62.140685,90.0,top
